ID,Testamento,Libro,Referencia,Nivel,Pregunta,Opcion_A,Opcion_B,Opcion_C,Opcion_D,Opcion_correcta,Respuesta_correcta,Explicacion_breve,Estado_QA,Revision_humana,Activa_app
QB0501,AT,Eclesiástico (Sirácida),Eclesiástico (Sirácida) 2:1-6,Basico,¿Qué actitud recomienda Eclesiástico 2:1-6 a quien decide servir al Señor cuando llega la adversidad?,Abandonar el propósito hasta que pasen las dificultades,"Mantenerse firme, ser paciente y confiar en Dios",Buscar únicamente soluciones materiales,Evitar cualquier responsabilidad durante la prueba,B,"Mantenerse firme, ser paciente y confiar en Dios","El pasaje presenta la prueba como una ocasión para perseverar, aceptar la adversidad con paciencia y mantener la confianza en Dios.",Revisar,No,No
QB0502,AT,Eclesiástico (Sirácida),Eclesiástico (Sirácida) 3:17-20,Basico,¿Qué recomienda Eclesiástico 3:17-20 a medida que una persona adquiere mayor importancia?,Buscar más reconocimiento público,Evitar relacionarse con personas sencillas,Actuar con mayor humildad,Defender siempre su propia opinión,C,Actuar con mayor humildad,La enseñanza relaciona la verdadera grandeza con una actitud humilde y presenta a los humildes como agradables ante Dios.,Revisar,No,No
QB0503,AT,Eclesiástico (Sirácida),Eclesiástico (Sirácida) 5:11-13,Basico,¿Qué conducta aconseja Eclesiástico 5:11-13 antes de responder a otra persona?,Hablar primero para mostrar seguridad,Responder aunque no se conozca el tema,Interrumpir para evitar perder la idea,Escuchar con prontitud y responder sin apresurarse,D,Escuchar con prontitud y responder sin apresurarse,"El texto valora la escucha atenta y recomienda evitar respuestas precipitadas, especialmente cuando no se domina el asunto.",Revisar,No,No
QB0504,AT,Eclesiástico (Sirácida),Eclesiástico (Sirácida) 11:7-8,Intermedio,¿Qué principio de prudencia expresa Eclesiástico 11:7-8 antes de censurar o responder?,Informarse y escuchar antes de emitir juicio,Responder de inmediato para no parecer indeciso,Confiar siempre en la primera impresión,Evitar escuchar versiones distintas,A,Informarse y escuchar antes de emitir juicio,El pasaje recomienda conocer primero los hechos y escuchar antes de formular una respuesta o una censura.,Revisar,No,No
QB0505,AT,Eclesiástico (Sirácida),Eclesiástico (Sirácida) 18:30-31,Intermedio,¿Qué orientación ofrece Eclesiástico 18:30-31 frente a los deseos y pasiones?,Seguirlos siempre que produzcan satisfacción,Ponerles límites y ejercer dominio sobre ellos,Ocultarlos sin examinarlos,Considerarlos una guía suficiente para decidir,B,Ponerles límites y ejercer dominio sobre ellos,La enseñanza advierte contra dejarse conducir por los impulsos y propone el autodominio como forma de actuar con prudencia.,Revisar,No,No
QB0506,AT,Eclesiástico (Sirácida),Eclesiástico (Sirácida) 24:8-12,Intermedio,¿Dónde establece su morada la sabiduría según Eclesiástico 24:8-12?,Entre los pueblos de Egipto,En las islas del Mediterráneo,"En Jacob e Israel, con arraigo en Sion y Jerusalén",En los reinos orientales alejados de Israel,C,"En Jacob e Israel, con arraigo en Sion y Jerusalén","El poema presenta a la sabiduría recibiendo del Creador una morada vinculada con Jacob, Israel, Sion y Jerusalén.",Revisar,No,No
QB0507,AT,Eclesiástico (Sirácida),Eclesiástico (Sirácida) 28:1-7,Intermedio,¿Qué relación establece Eclesiástico 28:1-7 entre el perdón al prójimo y la oración?,El perdón solo es necesario después de recibir una disculpa,La oración sustituye cualquier deber de reconciliación,Guardar rencor fortalece la petición de justicia,Perdonar la ofensa acompaña la petición del propio perdón,D,Perdonar la ofensa acompaña la petición del propio perdón,El pasaje vincula la disposición a perdonar al prójimo con la coherencia de pedir a Dios perdón por las propias faltas.,Revisar,No,No
QB0508,AT,Eclesiástico (Sirácida),Eclesiástico (Sirácida) 35:12-18,Avanzado,"Según Eclesiástico 35:12-18, ¿qué grupos se mencionan expresamente entre quienes Dios escucha sin parcialidad?","El oprimido, el huérfano y la viuda","Los reyes, los soldados y los comerciantes","Los ricos, los jueces y los escribas","Los extranjeros, los músicos y los artesanos",A,"El oprimido, el huérfano y la viuda","El pasaje presenta a Dios como juez imparcial y menciona expresamente la súplica del oprimido, del huérfano y de la viuda.",Revisar,No,No
QB0509,AT,Eclesiástico (Sirácida),Eclesiástico (Sirácida) 44:1-15,Avanzado,"Según Eclesiástico 44:5, ¿qué actividad se atribuye a algunos de los antepasados elogiados?",Dirigir caravanas hacia Egipto,Componer cantos y escribir relatos poéticos,Construir fortalezas en Jerusalén,Administrar los impuestos del reino,B,Componer cantos y escribir relatos poéticos,"Entre los antepasados elogiados, el pasaje menciona a quienes compusieron cantos y escribieron relatos poéticos.",Revisar,No,No
QB0510,AT,Eclesiástico (Sirácida),Eclesiástico (Sirácida) 51:13-22,Avanzado,"Según Eclesiástico 51:13-14, ¿cuándo comenzó el autor a buscar la sabiduría y dónde pidió obtenerla?",En la vejez y en su casa,Después de ser rey y en el palacio,Desde su juventud y a la entrada del Templo,Durante el exilio y junto a un río,C,Desde su juventud y a la entrada del Templo,El autor afirma que buscó la sabiduría desde su juventud y que pidió obtenerla a la entrada del Templo.,Revisar,No,No
QB0511,AT,Eclesiástico (Sirácida),Eclesiástico (Sirácida) 3:21-24,Avanzado,"Según Eclesiástico 3:22, ¿sobre qué aconseja reflexionar?",Sobre todos los secretos del universo,Sobre aquello que supera la capacidad humana,Sobre las decisiones de los reyes,Sobre lo que ha sido mandado,D,Sobre lo que ha sido mandado,"El pasaje aconseja concentrar la reflexión en lo que ha sido mandado, en lugar de buscar aquello que no corresponde conocer.",Revisar,No,No
QB0512,AT,Eclesiástico (Sirácida),Eclesiástico (Sirácida) 24:1-12,Experto,¿Qué secuencia resume mejor la presentación de la sabiduría en Eclesiástico 24:1-12?,"Procede del Altísimo, recorre la creación y recibe una morada en Jacob e Israel","Nace en Jerusalén, abandona Israel y se establece entre pueblos extranjeros",Es adquirida por los reyes y después entregada al templo,Surge de la experiencia humana y finalmente alcanza los cielos,A,"Procede del Altísimo, recorre la creación y recibe una morada en Jacob e Israel","El poema describe el origen de la sabiduría junto al Altísimo, su presencia sobre la creación y su establecimiento en la heredad de Israel.",Revisar,No,No
