ID,Testamento,Libro,Referencia,Nivel,Pregunta,Opcion_A,Opcion_B,Opcion_C,Opcion_D,Opcion_correcta,Respuesta_correcta,Explicacion_breve,Estado_QA,Revision_humana,Activa_app
QB0801,NT,Lucas,Lucas 9:28-36,Avanzado,¿Cuántos discípulos llevó Jesús consigo al monte antes de la transfiguración?,Dos,Cuatro,Seis,Tres,D,Tres,Lucas menciona a tres discípulos que acompañaron a Jesús al monte en este episodio.,Revisar,No,No
QB0802,NT,Lucas,Lucas 9:51-56,Intermedio,¿Qué tipo de aldea no recibió a Jesús cuando iba en dirección a Jerusalén?,Una aldea samaritana,Una aldea galilea,Una aldea fenicia,Una aldea de Judea,A,Una aldea samaritana,El relato sitúa el rechazo en una aldea de samaritanos durante el camino hacia Jerusalén.,Revisar,No,No
QB0803,NT,Lucas,Lucas 10:1-12,Intermedio,¿De qué manera envió Jesús a los discípulos que debían ir delante de él?,De uno en uno,De dos en dos,En grupos de cuatro,Todos juntos,B,De dos en dos,Lucas indica que los enviados fueron distribuidos de dos en dos hacia los lugares que Jesús visitaría.,Revisar,No,No
QB0804,NT,Lucas,Lucas 10:38-42,Basico,¿Qué hermana se sentó a escuchar a Jesús mientras Marta se ocupaba de atender?,Juana,Susana,María,Elisabet,C,María,Lucas presenta a María escuchando a Jesús mientras Marta estaba ocupada con el servicio.,Revisar,No,No
QB0805,NT,Lucas,Lucas 11:1-4,Basico,¿Qué pidió uno de los discípulos que Jesús les enseñara?,A pescar,A escribir,A viajar,A orar,D,A orar,Un discípulo pidió a Jesús que les enseñara a orar.,Revisar,No,No
QB0806,NT,Lucas,Lucas 11:5-8,Intermedio,¿Cuántos panes pidió prestados el hombre que recibió una visita a medianoche?,Tres,Dos,Cinco,Siete,A,Tres,"En el ejemplo del amigo a medianoche, la petición concreta fue de tres panes.",Revisar,No,No
QB0807,NT,Lucas,Lucas 11:29-32,Basico,¿Qué personaje del Antiguo Testamento menciona Jesús al hablar de la señal dada a esa generación?,Moisés,Jonás,Elías,Samuel,B,Jonás,Jesús relaciona la señal mencionada en este pasaje con Jonás.,Revisar,No,No
QB0808,NT,Lucas,Lucas 12:13-21,Intermedio,¿Qué decidió hacer el hombre rico al no tener espacio para guardar su cosecha?,Regalar toda la cosecha a sus vecinos,Vender su campo y mudarse de ciudad,Derribar sus graneros y construir otros mayores,Guardar el grano dentro de su casa,C,Derribar sus graneros y construir otros mayores,El hombre decidió sustituir sus graneros por otros más grandes para almacenar sus bienes.,Revisar,No,No
QB0809,NT,Lucas,Lucas 12:22-31,Intermedio,¿Qué aves pidió Jesús observar al enseñar sobre la preocupación por el alimento?,Las palomas,Las águilas,Los gorriones,Los cuervos,D,Los cuervos,Lucas menciona específicamente a los cuervos dentro de esta enseñanza sobre la confianza.,Revisar,No,No
QB0810,NT,Lucas,Lucas 12:35-40,Avanzado,¿De qué acontecimiento regresaba el señor al que esperaban los siervos del ejemplo?,De unas bodas,De una cosecha,De un viaje a Roma,De una reunión militar,A,De unas bodas,El ejemplo presenta a siervos preparados para recibir a su señor cuando regresara de unas bodas.,Revisar,No,No
QB0811,NT,Lucas,Lucas 13:10-17,Experto,¿Cuántos años llevaba la mujer con su enfermedad antes de ser sanada por Jesús?,Doce años,Dieciocho años,Siete años,Treinta años,B,Dieciocho años,Lucas especifica que la mujer llevaba dieciocho años con aquella condición.,Revisar,No,No
QB0812,NT,Lucas,Lucas 13:18-19,Intermedio,¿Qué semilla usa Jesús en Lucas 13 para comparar el crecimiento del reino de Dios?,Semilla de trigo,Semilla de cebada,Grano de mostaza,Semilla de lino,C,Grano de mostaza,La comparación de Lucas 13 utiliza el grano de mostaza y describe su crecimiento.,Revisar,No,No
QB0813,NT,Lucas,Lucas 14:7-11,Intermedio,¿Qué lugar aconseja escoger al invitado en la enseñanza de Lucas 14:7-11?,El asiento principal,El lugar junto al anfitrión,El centro de la mesa,El último lugar,D,El último lugar,Jesús aconseja comenzar por el lugar más bajo en vez de buscar el puesto de mayor honor.,Revisar,No,No
QB0814,NT,Lucas,Lucas 14:25-33,Avanzado,¿Qué construcción menciona Jesús como ejemplo de la necesidad de calcular primero el costo?,Una torre,Un palacio,Un puente,Una muralla,A,Una torre,Jesús usa la construcción de una torre para ilustrar la necesidad de calcular antes de comenzar.,Revisar,No,No
QB0815,NT,Lucas,Lucas 15:1-7,Basico,¿Cuántas ovejas se apartan del grupo y motivan la búsqueda del pastor en la parábola?,Dos,Una,Cinco,Diez,B,Una,"La parábola parte de una sola oveja perdida, que el pastor sale a buscar.",Revisar,No,No
QB0816,NT,Lucas,Lucas 15:8-10,Avanzado,¿Cuántas monedas tenía inicialmente la mujer de la parábola antes de perder una?,Cinco,Doce,Diez,Veinte,C,Diez,La mujer comienza el relato con diez monedas y pierde una de ellas.,Revisar,No,No
QB0817,NT,Lucas,Lucas 15:11-32,Basico,¿Qué pidió el hijo menor a su padre antes de marcharse a una región lejana?,Un campo junto a la ciudad,Permiso para trabajar como siervo,La casa de su hermano mayor,La parte de los bienes que le correspondía,D,La parte de los bienes que le correspondía,El hijo menor pidió recibir anticipadamente la parte de los bienes que le correspondía.,Revisar,No,No
QB0818,NT,Lucas,Lucas 16:1-9,Avanzado,¿Qué función desempeñaba el hombre acusado de malgastar los bienes de un rico en Lucas 16?,Administrador,Sacerdote,Pescador,Soldado,A,Administrador,El relato comienza con un hombre rico que pide cuentas al encargado de administrar sus bienes.,Revisar,No,No
QB0819,NT,Lucas,Lucas 16:19-31,Intermedio,¿Cómo se llamaba el hombre pobre situado a la puerta del rico en el relato de Lucas 16?,Bartimeo,Lázaro,Jairo,Cleofas,B,Lázaro,Lucas da un nombre al hombre pobre del relato: Lázaro.,Revisar,No,No
QB0820,NT,Lucas,Lucas 17:5-6,Intermedio,¿Qué pidieron los apóstoles a Jesús al comienzo de Lucas 17:5?,Que les mostrara una ciudad,Que multiplicara el alimento,Que aumentara su fe,Que eligiera nuevos discípulos,C,Que aumentara su fe,Los apóstoles formularon una petición concreta relacionada con el crecimiento de su fe.,Revisar,No,No
QB0821,NT,Lucas,Lucas 17:11-19,Intermedio,"De los diez hombres sanados, ¿cuántos regresaron para agradecer a Jesús?",Dos,Cinco,Los diez,Uno,D,Uno,"El relato destaca que uno de los diez regresó para agradecer, y lo identifica como samaritano.",Revisar,No,No
QB0822,NT,Lucas,Lucas 18:1-8,Intermedio,¿A quién acudía repetidamente la viuda para pedir justicia en la parábola de Lucas 18?,A un juez,A un sacerdote,A un comerciante,A un centurión,A,A un juez,La viuda de la parábola insistía ante un juez para que atendiera su causa.,Revisar,No,No
QB0823,NT,Lucas,Lucas 18:9-14,Avanzado,¿Qué dos personas subieron al templo a orar en la parábola de Lucas 18:9-14?,Dos sacerdotes,Un fariseo y un cobrador de impuestos,Un rey y un profeta,Un centurión y un pescador,B,Un fariseo y un cobrador de impuestos,La parábola contrasta la oración de un fariseo con la de un cobrador de impuestos.,Revisar,No,No
