ID,Testamento,Libro,Referencia,Nivel,Pregunta,Opcion_A,Opcion_B,Opcion_C,Opcion_D,Opcion_correcta,Respuesta_correcta,Explicacion_breve,Estado_QA,Revision_humana,Activa_app
QB1001,NT,Efesios,Efesios 4:26,Basico,¿Qué límite temporal usa Pablo al advertir sobre permanecer enojado?,Que no se ponga el sol mientras dure el enojo,Que pase una semana,Que termine el mes,Que llegue la siguiente fiesta,A,Que no se ponga el sol mientras dure el enojo,Pablo usa la puesta del sol como límite práctico para no prolongar el enojo.,Revisar,No,No
QB1002,NT,Efesios,Efesios 5:2,Basico,¿A quién pide Pablo imitar como hijos amados?,A los gobernantes,A los filósofos,A los ángeles,A Dios,D,A Dios,Pablo exhorta a los creyentes a imitar a Dios como hijos amados y a vivir en amor.,Revisar,No,No
QB1003,NT,Efesios,Efesios 6:10,Intermedio,¿En quién pide Pablo fortalecerse antes de presentar la imagen de la armadura?,En la propia experiencia,En el Señor y en su poder,En los líderes de la comunidad,En la fuerza militar,B,En el Señor y en su poder,Pablo introduce la sección final exhortando a fortalecerse en el Señor y en la fuerza de su poder.,Revisar,No,No
QB1004,NT,Filipenses,Filipenses 1:5,Intermedio,¿Qué motivo relacionado con el evangelio menciona Pablo al dar gracias por los filipenses?,Que habían enviado soldados a Roma,Su participación en el evangelio desde el primer día,Que habían dejado de reunirse,Su apoyo al templo de Jerusalén,B,Su participación en el evangelio desde el primer día,Pablo agradece la participación de los filipenses en el evangelio desde el comienzo de su relación con ellos.,Revisar,No,No
QB1005,NT,Filipenses,Filipenses 1:14,Avanzado,"¿Qué efecto tuvieron las cadenas de Pablo en muchos hermanos, según su propio relato?",Dejaron de anunciar el mensaje,Se trasladaron todos a Jerusalén,Cobraron ánimo para hablar la palabra con mayor confianza,Decidieron ocultar su fe,C,Cobraron ánimo para hablar la palabra con mayor confianza,Pablo señala que su encarcelamiento dio ánimo a muchos hermanos para proclamar la palabra con mayor confianza.,Revisar,No,No
QB1006,NT,Filipenses,Filipenses 2:4,Basico,"¿Qué pide Pablo considerar, además de los propios intereses?",Solo las normas civiles,Únicamente las necesidades de los líderes,Los asuntos del imperio,Los intereses de los demás,D,Los intereses de los demás,Pablo exhorta a mirar más allá de lo propio y atender los intereses de los demás.,Revisar,No,No
QB1007,NT,Filipenses,Filipenses 2:25,Avanzado,"¿A quién describe Pablo como hermano, colaborador y compañero de milicia enviado por los filipenses?",Epafrodito,Timoteo,Silas,Lucas,A,Epafrodito,Pablo aplica esas expresiones a Epafrodito al explicar por qué lo envía de regreso a los filipenses.,Revisar,No,No
QB1008,NT,Filipenses,Filipenses 3:5,Experto,¿De qué tribu dice Pablo que era al enumerar sus antecedentes?,Judá,Benjamín,Leví,Efraín,B,Benjamín,"Al enumerar sus antecedentes, Pablo afirma pertenecer a la tribu de Benjamín.",Revisar,No,No
QB1009,NT,Filipenses,Filipenses 3:13-14,Intermedio,¿Hacia qué dice Pablo que avanza al dejar atrás lo que queda detrás?,Hacia una posición política,Hacia una vida sin dificultades,Hacia la meta y el premio del llamamiento de Dios,Hacia una nueva ciudad para residir,C,Hacia la meta y el premio del llamamiento de Dios,Pablo usa la imagen de una carrera para expresar que avanza hacia la meta y el premio del llamamiento de Dios.,Revisar,No,No
QB1010,NT,Filipenses,Filipenses 4:6,Basico,"¿Qué debe acompañar las peticiones presentadas a Dios, según Pablo?",El ayuno obligatorio,Una ofrenda material,El silencio completo,La acción de gracias,D,La acción de gracias,Pablo indica que las peticiones deben presentarse a Dios con oración y acción de gracias.,Revisar,No,No
