ID,Testamento,Libro,Referencia,Nivel,Pregunta,Opcion_A,Opcion_B,Opcion_C,Opcion_D,Opcion_correcta,Respuesta_correcta,Explicacion_breve,Estado_QA,Revision_humana,Activa_app
QB0701,NT,Mateo,Mateo 13:24-30,Intermedio,¿Quién sembró la cizaña entre el trigo en la parábola de Mateo 13?,Un enemigo,El dueño del campo,Los segadores,Los comerciantes,A,Un enemigo,La parábola atribuye la siembra de la cizaña a un enemigo mientras los demás dormían.,Revisar,No,No
QB0702,NT,Mateo,Mateo 13:31-32,Basico,¿Qué semilla utiliza Jesús para ilustrar un crecimiento notable en Mateo 13?,Una semilla de olivo,Un grano de mostaza,Un grano de trigo,Una semilla de higuera,B,Un grano de mostaza,Mateo 13 utiliza el grano de mostaza en esta comparación sobre el reino.,Revisar,No,No
QB0703,NT,Mateo,Mateo 13:44-44,Avanzado,¿Qué hace el hombre después de encontrar el tesoro escondido en el campo?,Entrega el tesoro al dueño y se marcha,Divide el campo entre sus vecinos,Vende lo que tiene y compra el campo,Lleva el tesoro al templo,C,Vende lo que tiene y compra el campo,El hombre actúa para adquirir el campo después de encontrar allí el tesoro.,Revisar,No,No
QB0704,NT,Mateo,Mateo 14:13-21,Basico,¿Con qué cantidad de panes y peces comenzó la alimentación de la multitud en Mateo 14?,Siete panes y un pez,Tres panes y cuatro peces,Doce panes y dos peces,Cinco panes y dos peces,D,Cinco panes y dos peces,El relato comienza con cinco panes y dos peces disponibles para la multitud.,Revisar,No,No
QB0705,NT,Mateo,Mateo 14:28-33,Intermedio,¿Qué discípulo salió de la barca e intentó ir hacia Jesús sobre el agua?,Pedro,Juan,Andrés,Tomás,A,Pedro,Mateo identifica a Pedro como el discípulo que salió de la barca hacia Jesús.,Revisar,No,No
QB0706,NT,Mateo,Mateo 15:21-28,Avanzado,¿Cómo identifica Mateo a la mujer que pidió ayuda a Jesús en la región de Tiro y Sidón?,Samaritana,Cananea,Romana,Egipcia,B,Cananea,Mateo identifica a la mujer de este episodio como cananea.,Revisar,No,No
QB0707,NT,Mateo,Mateo 15:32-38,Avanzado,¿Cuántas canastas llenas quedaron después de alimentar a los cuatro mil?,Doce,Cinco,Siete,Tres,C,Siete,Mateo 15 registra siete canastas llenas después de que la multitud comió.,Revisar,No,No
QB0708,NT,Mateo,Mateo 16:5-12,Avanzado,¿Qué comprendieron los discípulos que representaba la levadura de los fariseos y saduceos?,Su forma de vestir,Sus alimentos,Sus viajes,Su enseñanza,D,Su enseñanza,Los discípulos comprendieron que Jesús se refería a la enseñanza de fariseos y saduceos.,Revisar,No,No
QB0709,NT,Mateo,Mateo 16:13-16,Basico,¿Qué discípulo respondió cuando Jesús preguntó quién decían ellos que era él?,Simón Pedro,Andrés,Felipe,Mateo,A,Simón Pedro,Simón Pedro es quien responde directamente a la pregunta de Jesús en este episodio.,Revisar,No,No
QB0710,NT,Mateo,Mateo 17:1-8,Basico,¿Qué dos personajes aparecen junto a Jesús durante la transfiguración?,Abrahán y David,Moisés y Elías,Isaac y Jacob,Samuel y Eliseo,B,Moisés y Elías,Mateo 17 presenta a Moisés y Elías junto a Jesús durante la transfiguración.,Revisar,No,No
QB0711,NT,Mateo,Mateo 17:24-27,Experto,¿Dónde indicó Jesús a Pedro que encontraría la moneda para pagar el impuesto?,Debajo de una piedra junto al templo,En la bolsa común de los discípulos,En la boca del primer pez que pescara,En la casa del cobrador,C,En la boca del primer pez que pescara,Jesús indicó a Pedro que encontraría la moneda en la boca del primer pez que pescara.,Revisar,No,No
QB0712,NT,Mateo,Mateo 18:12-14,Basico,"En la comparación de Mateo 18, ¿cuántas ovejas se pierde de un grupo de cien?",Dos,Diez,Veinte,Una,D,Una,La comparación presenta a un pastor que busca una oveja perdida de un grupo de cien.,Revisar,No,No
QB0713,NT,Mateo,Mateo 18:23-35,Intermedio,¿Qué contraste caracteriza al siervo de la parábola de Mateo 18:23-35?,"Recibió perdón de una gran deuda, pero no perdonó una deuda menor",Perdonó ambas deudas sin condiciones,Pagó de inmediato todas las deudas,Nunca había recibido ninguna deuda,A,"Recibió perdón de una gran deuda, pero no perdonó una deuda menor","El siervo recibe el perdón de una gran deuda, pero luego se niega a perdonar una deuda menor.",Revisar,No,No
QB0714,NT,Mateo,Mateo 19:13-15,Basico,¿Qué indicó Jesús cuando los discípulos intentaban apartar a los niños?,Que los enviaran a sus casas,Que dejaran que los niños se acercaran,Que esperaran fuera de la ciudad,Que hablaran primero con los fariseos,B,Que dejaran que los niños se acercaran,Jesús pidió que permitieran a los niños acercarse a él.,Revisar,No,No
QB0715,NT,Mateo,Mateo 19:16-22,Intermedio,¿Por qué se marchó triste el joven de Mateo 19 después de hablar con Jesús?,Porque había perdido su trabajo,Porque debía viajar a Galilea,Porque tenía muchos bienes,Porque no conocía los mandamientos,C,Porque tenía muchos bienes,El relato explica su tristeza señalando que poseía muchos bienes.,Revisar,No,No
QB0716,NT,Mateo,Mateo 20:1-16,Experto,¿Qué recibieron los trabajadores contratados al final en comparación con los primeros?,Recibieron la mitad del jornal,Recibieron el doble del jornal,No recibieron pago,Recibieron el mismo jornal de un denario,D,Recibieron el mismo jornal de un denario,La parábola señala que los últimos y los primeros recibieron un denario cada uno.,Revisar,No,No
QB0717,NT,Mateo,Mateo 20:20-28,Avanzado,¿Qué pidió la madre de los hijos de Zebedeo para sus dos hijos?,Que ocuparan lugares a la derecha y a la izquierda de Jesús en su reino,Que fueran enviados a Egipto,Que administraran el dinero del grupo,Que regresaran a su oficio de pescadores,A,Que ocuparan lugares a la derecha y a la izquierda de Jesús en su reino,La petición buscaba lugares destacados para sus dos hijos junto a Jesús en su reino.,Revisar,No,No
QB0718,NT,Mateo,Mateo 21:1-11,Basico,¿Cuántos discípulos envió Jesús a buscar los animales para su entrada en Jerusalén?,Uno,Dos,Tres,Doce,B,Dos,Mateo 21 indica que Jesús envió a dos discípulos con esa tarea.,Revisar,No,No
QB0719,NT,Mateo,Mateo 21:18-22,Intermedio,¿Qué encontró Jesús en la higuera junto al camino?,Higos maduros,Flores y frutos,Solo hojas,Un nido de aves,C,Solo hojas,"El relato señala que Jesús encontró hojas, pero no fruto, en la higuera.",Revisar,No,No
