ID,Testamento,Libro,Referencia,Nivel,Pregunta,Opcion_A,Opcion_B,Opcion_C,Opcion_D,Opcion_correcta,Respuesta_correcta,Explicacion_breve,Estado_QA,Revision_humana,Activa_app
QB0901,NT,Hechos,Hechos 7:54-60,Intermedio,¿A los pies de qué joven dejaron sus mantos los testigos durante la muerte de Esteban?,Saulo,Bernabé,Marcos,Timoteo,A,Saulo,Los testigos dejaron sus mantos a los pies de un joven llamado Saulo.,Revisar,No,No
QB0902,NT,Hechos,Hechos 7:2-4,Experto,¿En qué región dijo Esteban que estaba Abraham cuando Dios se le apareció antes de vivir en Jarán?,Egipto,Galilea,Mesopotamia,Capadocia,C,Mesopotamia,"Esteban situó esa aparición a Abraham en Mesopotamia, antes de que residiera en Jarán.",Revisar,No,No
QB0903,NT,Hechos,Hechos 8:4-8,Basico,¿Quién llevó el anuncio de Cristo a una ciudad de Samaria después de la dispersión de los creyentes?,Pedro,Juan Marcos,Santiago,Felipe,D,Felipe,Felipe fue a una ciudad de Samaria y allí anunció a Cristo.,Revisar,No,No
QB0904,NT,Hechos,Hechos 8:26-35,Intermedio,¿Qué profeta estaba leyendo el funcionario etíope cuando Felipe se acercó a su carro?,Daniel,Isaías,Joel,Miqueas,B,Isaías,El funcionario etíope estaba leyendo al profeta Isaías cuando Felipe se acercó.,Revisar,No,No
QB0905,NT,Hechos,Hechos 10:1-8,Basico,"¿En qué ciudad vivía Cornelio, el centurión que recibió una visión?",Cesarea,Jericó,Antioquía,Filipos,A,Cesarea,Cornelio era un centurión residente en Cesarea.,Revisar,No,No
QB0906,NT,Hechos,Hechos 10:9-16,Intermedio,¿Qué vio Pedro descender del cielo en su visión mientras se preparaba la comida?,Una escalera con ángeles,Un rollo sellado,Algo semejante a un gran lienzo con animales,Una lámpara de siete brazos,C,Algo semejante a un gran lienzo con animales,Pedro vio descender algo semejante a un gran lienzo que contenía distintos animales.,Revisar,No,No
QB0907,NT,Hechos,Hechos 11:19-26,Basico,¿En qué ciudad fueron llamados cristianos por primera vez los discípulos?,Jerusalén,Damasco,Cesarea,Antioquía,D,Antioquía,Los discípulos fueron llamados cristianos por primera vez en Antioquía.,Revisar,No,No
QB0908,NT,Hechos,Hechos 11:27-30,Avanzado,¿Qué profeta anunció que vendría una gran hambre?,Silas,Ágabo,Judas Barsabás,Manaén,B,Ágabo,"Ágabo anunció una gran hambre, lo que motivó ayuda para los creyentes de Judea.",Revisar,No,No
QB0909,NT,Hechos,Hechos 12:1-11,Basico,¿Qué rey mandó encarcelar a Pedro antes de que un ángel lo sacara de la prisión?,Herodes,Agripa II,Félix,Festo,A,Herodes,"Herodes mandó encarcelar a Pedro, quien después salió de la prisión con ayuda de un ángel.",Revisar,No,No
QB0910,NT,Hechos,Hechos 12:12-17,Avanzado,¿A casa de quién fue Pedro después de salir de la prisión?,Lidia de Filipos,Priscila,"María, madre de Juan Marcos",Tabita,C,"María, madre de Juan Marcos","Pedro fue a la casa de María, madre de Juan Marcos, donde había varias personas reunidas.",Revisar,No,No
QB0911,NT,Hechos,Hechos 13:1-3,Basico,¿Qué dos misioneros fueron apartados para la obra a la que habían sido llamados?,Pedro y Juan,Silas y Timoteo,Felipe y Esteban,Bernabé y Saulo,D,Bernabé y Saulo,Bernabé y Saulo fueron apartados para la misión indicada por el Espíritu Santo.,Revisar,No,No
QB0912,NT,Hechos,Hechos 13:6-12,Avanzado,¿Qué procónsul de Chipre quiso escuchar la palabra de Dios durante la misión de Bernabé y Saulo?,Galión,Sergio Paulo,Claudio Lisias,Porcio Festo,B,Sergio Paulo,"Sergio Paulo, procónsul de Chipre, mostró interés en escuchar el mensaje anunciado por los misioneros.",Revisar,No,No
